7.1848 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
30.2198 	EXP 	text: text = 'GBP 40 today or  GBP55 after 62 days'
30.2198 	EXP 	fixation: autoDraw = True
31.2195 	EXP 	fixation: autoDraw = False
31.2195 	EXP 	text: autoDraw = True
32.8564 	DATA 	Keypress: l
32.8714 	EXP 	New trial (rep=1, index=0): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
32.8855 	EXP 	fixation: autoDraw = False
32.8855 	EXP 	text: autoDraw = False
32.8855 	EXP 	text: height = 0.05
32.8855 	EXP 	text: height = 0.05
32.8855 	EXP 	text: height = 0.05
32.8855 	EXP 	text: text = 'GBP 78 today or  GBP80 after 162 days'
32.8855 	EXP 	fixation: autoDraw = True
33.8851 	EXP 	fixation: autoDraw = False
33.8851 	EXP 	text: autoDraw = True
35.6534 	EXP 	New trial (rep=1, index=1): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
35.6615 	DATA 	Keypress: l
35.6679 	EXP 	fixation: autoDraw = False
35.6679 	EXP 	text: autoDraw = False
35.6679 	EXP 	text: height = 0.05
35.6679 	EXP 	text: height = 0.05
35.6679 	EXP 	text: height = 0.05
35.6679 	EXP 	text: text = 'GBP 67 today or  GBP75 after 119 days'
35.6679 	EXP 	fixation: autoDraw = True
36.6677 	EXP 	fixation: autoDraw = False
36.6677 	EXP 	text: autoDraw = True
38.1860 	EXP 	New trial (rep=1, index=2): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
38.1945 	DATA 	Keypress: l
38.2004 	EXP 	fixation: autoDraw = False
38.2004 	EXP 	text: autoDraw = False
38.2004 	EXP 	text: height = 0.05
38.2004 	EXP 	text: height = 0.05
38.2004 	EXP 	text: height = 0.05
38.2004 	EXP 	text: text = 'GBP 40 today or  GBP55 after 62 days'
38.2004 	EXP 	fixation: autoDraw = True
39.2001 	EXP 	fixation: autoDraw = False
39.2001 	EXP 	text: autoDraw = True
40.9363 	DATA 	Keypress: l
40.9515 	EXP 	New trial (rep=1, index=3): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
40.9662 	EXP 	fixation: autoDraw = False
40.9662 	EXP 	text: autoDraw = False
40.9662 	EXP 	text: height = 0.05
40.9662 	EXP 	text: height = 0.05
40.9662 	EXP 	text: height = 0.05
40.9662 	EXP 	text: text = 'GBP 49 today or  GBP60 after 89 days'
40.9662 	EXP 	fixation: autoDraw = True
41.9658 	EXP 	fixation: autoDraw = False
41.9658 	EXP 	text: autoDraw = True
44.6825 	EXP 	New trial (rep=1, index=4): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
44.6870 	DATA 	Keypress: l
44.6980 	EXP 	fixation: autoDraw = False
44.6980 	EXP 	text: autoDraw = False
44.6980 	EXP 	text: height = 0.05
44.6980 	EXP 	text: height = 0.05
44.6980 	EXP 	text: height = 0.05
44.6980 	EXP 	text: text = 'GBP 15 today or  GBP35 after 13 days'
44.6980 	EXP 	fixation: autoDraw = True
45.6978 	EXP 	fixation: autoDraw = False
45.6978 	EXP 	text: autoDraw = True
47.0495 	EXP 	New trial (rep=1, index=5): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
47.0564 	DATA 	Keypress: t
47.0641 	EXP 	fixation: autoDraw = False
47.0641 	EXP 	text: autoDraw = False
47.0641 	EXP 	text: height = 0.05
47.0641 	EXP 	text: height = 0.05
47.0641 	EXP 	text: height = 0.05
47.0641 	EXP 	text: text = 'GBP 11 today or  GBP30 after 7 days'
47.0641 	EXP 	fixation: autoDraw = True
48.0637 	EXP 	fixation: autoDraw = False
48.0637 	EXP 	text: autoDraw = True
49.4489 	EXP 	New trial (rep=1, index=6): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
49.4578 	DATA 	Keypress: t
49.4632 	EXP 	fixation: autoDraw = False
49.4632 	EXP 	text: autoDraw = False
49.4632 	EXP 	text: height = 0.05
49.4632 	EXP 	text: height = 0.05
49.4632 	EXP 	text: height = 0.05
49.4632 	EXP 	text: text = 'GBP 27 today or  GBP50 after 21 days'
49.4632 	EXP 	fixation: autoDraw = True
50.4629 	EXP 	fixation: autoDraw = False
50.4629 	EXP 	text: autoDraw = True
51.4145 	EXP 	New trial (rep=2, index=0): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
51.4171 	DATA 	Keypress: t
51.4291 	EXP 	fixation: autoDraw = False
51.4291 	EXP 	text: autoDraw = False
51.4291 	EXP 	text: text = 'GBP 27 today or  GBP50 after 21 days'
51.4291 	EXP 	fixation: autoDraw = True
52.4289 	EXP 	fixation: autoDraw = False
52.4289 	EXP 	text: autoDraw = True
53.7473 	EXP 	New trial (rep=2, index=1): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
53.7561 	DATA 	Keypress: t
53.7618 	EXP 	fixation: autoDraw = False
53.7618 	EXP 	text: autoDraw = False
53.7618 	EXP 	text: height = 0.05
53.7618 	EXP 	text: height = 0.05
53.7618 	EXP 	text: height = 0.05
53.7618 	EXP 	text: text = 'GBP 15 today or  GBP35 after 13 days'
53.7618 	EXP 	fixation: autoDraw = True
54.7615 	EXP 	fixation: autoDraw = False
54.7615 	EXP 	text: autoDraw = True
58.6627 	EXP 	New trial (rep=2, index=2): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
58.6703 	DATA 	Keypress: t
58.6767 	EXP 	fixation: autoDraw = False
58.6767 	EXP 	text: autoDraw = False
58.6767 	EXP 	text: height = 0.05
58.6767 	EXP 	text: height = 0.05
58.6767 	EXP 	text: height = 0.05
58.6767 	EXP 	text: text = 'GBP 67 today or  GBP75 after 119 days'
58.6767 	EXP 	fixation: autoDraw = True
59.6765 	EXP 	fixation: autoDraw = False
59.6765 	EXP 	text: autoDraw = True
67.4111 	DATA 	Keypress: l
67.4263 	EXP 	New trial (rep=2, index=3): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
67.4404 	EXP 	fixation: autoDraw = False
67.4404 	EXP 	text: autoDraw = False
67.4404 	EXP 	text: height = 0.05
67.4404 	EXP 	text: height = 0.05
67.4404 	EXP 	text: height = 0.05
67.4404 	EXP 	text: text = 'GBP 11 today or  GBP30 after 7 days'
67.4404 	EXP 	fixation: autoDraw = True
68.4403 	EXP 	fixation: autoDraw = False
68.4403 	EXP 	text: autoDraw = True
